date,league,home,away,home_score,away_score,odds_home,odds_draw,odds_away,odds_over25,odds_btts,odds_timing,source
2023-09-17,Ligue 1,Strasbourg,Montpellier,2,2,2.93,3.38,2.44,1.95,,closing,football-data:2324:F1
2023-09-17,Premier League,Bournemouth,Chelsea,0,0,4.06,3.88,1.87,1.71,,closing,football-data:2324:E0
2023-09-17,Premier League,Everton,Arsenal,0,1,5.74,4.37,1.57,1.68,,closing,football-data:2324:E0
2023-09-17,Serie A,Cagliari,Udinese,0,0,2.91,3.19,2.59,2.2,,closing,football-data:2324:I1
2023-09-17,Serie A,Fiorentina,Atalanta,3,2,2.7,3.36,2.66,1.87,,closing,football-data:2324:I1
2023-09-17,Serie A,Frosinone,Sassuolo,4,2,2.99,3.55,2.34,1.69,,closing,football-data:2324:I1
2023-09-17,Serie A,Monza,Lecce,1,1,2.39,3.29,3.09,2.09,,closing,football-data:2324:I1
2023-09-17,Serie A,Roma,Empoli,7,0,1.39,4.75,8.63,1.81,,closing,football-data:2324:I1
2023-09-18,La Liga,Granada,Girona,2,4,2.87,3.51,2.41,1.68,,closing,football-data:2324:SP1
2023-09-18,Premier League,Nott'm Forest,Burnley,1,1,2.11,3.45,3.59,1.98,,closing,football-data:2324:E0
2023-09-18,Serie A,Salernitana,Torino,0,3,3.71,3.1,2.19,2.45,,closing,football-data:2324:I1
2023-09-18,Serie A,Verona,Bologna,0,0,3.36,3.37,2.21,1.97,,closing,football-data:2324:I1
2023-09-22,Bundesliga,Stuttgart,Darmstadt,3,1,1.38,5.25,7.94,1.52,,closing,football-data:2324:D1
2023-09-22,La Liga,Alaves,Ath Bilbao,0,2,4.29,3.1,2.06,2.7,,closing,football-data:2324:SP1
2023-09-22,Ligue 1,Monaco,Nice,0,1,2.35,3.57,2.94,1.7,,closing,football-data:2324:F1
2023-09-22,Serie A,Lecce,Genoa,1,0,2.53,3.11,2.99,2.28,,closing,football-data:2324:I1
2023-09-22,Serie A,Salernitana,Frosinone,1,1,2.46,3.24,3.03,2.11,,closing,football-data:2324:I1
2023-09-23,Bundesliga,Augsburg,Mainz,2,1,2.52,3.48,2.78,1.83,,closing,football-data:2324:D1
2023-09-23,Bundesliga,Bayern Munich,Bochum,7,0,1.13,9.45,17.94,1.2,,closing,football-data:2324:D1
2023-09-23,Bundesliga,Dortmund,Wolfsburg,1,0,1.72,4.28,4.35,1.45,,closing,football-data:2324:D1
2023-09-23,Bundesliga,M'gladbach,RB Leipzig,0,1,4.55,4.37,1.69,1.47,,closing,football-data:2324:D1
2023-09-23,Bundesliga,Union Berlin,Hoffenheim,0,2,2.12,3.61,3.43,1.76,,closing,football-data:2324:D1
2023-09-23,Bundesliga,Werder Bremen,FC Koln,2,1,2.41,3.62,2.86,1.7,,closing,football-data:2324:D1
2023-09-23,La Liga,Almeria,Valencia,2,2,2.79,3.35,2.58,2.03,,closing,football-data:2324:SP1
2023-09-23,La Liga,Barcelona,Celta,3,2,1.24,6.36,11.36,1.44,,closing,football-data:2324:SP1
2023-09-23,La Liga,Girona,Mallorca,5,3,1.9,3.36,4.58,2.41,,closing,football-data:2324:SP1
2023-09-23,La Liga,Osasuna,Sevilla,0,0,2.37,3.24,3.23,2.24,,closing,football-data:2324:SP1
